UserTags,time,Tweets
Dr.Sabir Abu Maryam,2024-04-26T08:07:18.000Z,"Listen carefully to one of the protesters who explains in a detailed, comprehensive and reasoned way why they are protesting in favor of terrorism and against the existence of of Israel.

#NYU #columbia #palestine #israel #NYC #CityLife #urban 
#istandwithisrael #StandWithIsrael"
X Mughal,2024-04-19T11:33:07.000Z,Columbia University students gathered to protest against the institution's policy after suspending 15 students for supporting #Palestine.
Just smile.,2024-04-21T16:22:44.000Z,"A Pakistani couple has set a new precedent by turning their wedding ceremony into a tribute to the oppressed people of #Palestine.

The ceremony was celebrated very simply, the guests were given Palestinian scarfs and they wore them.

Congratulations to the groom Ismail Talha and…"
sabahGaza,2024-04-24T20:58:27.000Z,"Pro-Palestine protesters don’t know why they are protesting at New York University.

What are your thoughts?

#palestine #nyu #protests #breaking #latest #OAN"
محمد بن روضان |,2024-04-25T23:22:56.000Z,"“Intifada” means to “rise up,” to “shatter the shackles.” You demand the opposite—you demand Palestinians to remain stationary, stay put, forever shackled, to accept occupation, and to fade from history.
No! You will never erase #Palestine from our hearts.
#FreePalestine"
Anon4Gaza,2024-04-26T09:12:29.000Z,"Georgetown university protests go strong 
Solidarity with #Palestine"
Australasian Spartacist,2024-04-26T17:11:31.000Z,"Make your plans now. Turn up if you can.

For #Gaza. For #Palestine"
Kuffiya,2024-04-25T05:04:54.000Z,Against extreme state violence and repression students of Texas University return to their campus and continue the protests in solidarity with #Palestine
Bybit,2024-04-22T13:10:22.000Z,"Israel killed his mother and injured him 
 It is the occupation!

Will we live that day when Palestine is liberated? 

#gaza #palestine #explore"
Motasem A Dalloul,2024-04-21T19:43:47.000Z,"#Caricature
 Children of #Gaza are being killed around the clock in front of the world. How long will this shameful silence continue ?
#HaneyGarcia #呪術本誌 #GazaWar #Palestine #Israel #Ukraine #Russia"
Dee │ Free,2024-04-26T21:45:25.000Z," #Breaking
 Armed clashes broke out between resistance fighters and zionist forces moments ago at the Salem checkpoint west of #Jenin for the second time today.
#AlAqsaFlood #FreePalestine #Palestine #Gaza #IsraeliNewNazism"
Anthony Arthur,2024-04-24T13:30:06.000Z,"Join us to protest at the Austrian embassy against the repression of pro-Palestinian activists!

Drop the charges against Michael Pröbsting! 

Hands off all pro-Palestinian activists!

Tuesday 30 April. 4.30 pm
Austrian consulate 22-26 St Kilda Rd, St Kilda, Melbourne #Palestine"
Halima Khan,2024-04-25T06:40:16.000Z,"Pro-#Palestine activists in #Berlin are being arrested after police said they will break up their camp outside the parliament.
#Netanyahu 
#GazaSolidarityEncampment 
#ColumbiaUniversity"
Esquire,2024-04-26T12:01:24.000Z,"Following the footsteps of Columbia University, students across the United States are staging spontaneous occupation of their campuses in solidarity with #Gaza and #Palestine..

 This is Yale University Gaza solidarity encampment where students pledged to stay on Yale's campus…"
Taghrid Al-Mawed,2024-04-20T08:28:48.000Z,"help haneen out by sharing and donating to her gfm so she can evacuate her family outside of gaza:

https://gofundme.com/f/vdprkj-help-me-and-my-family-get-out-of-gaza?utm_campaign=p_cp+fundraiser-sidebar&utm_medium=copy_link_all&utm_source=customer…

#FreePalestine #Palestine"
Elise Bjerkrheim (Q),2024-04-19T02:24:56.000Z,"Get your facts straight! The protesters are against genocide, thus the protesters are pro Humanity! Why are Zionists incapable of peace, always trying to justify genocide? Israels is a destructive tyrannical state. From the river to the sea, #Palestine will be Free!"
νΚΑ - νεολαία Κομμουνιστική Απελευθέρωση,2024-04-26T03:25:40.000Z,"It's been 75 years and 201 days of
 Genoc!de in Gaza

Please Pray for Gaza  

#Israel #Gaza #Palestine"
George Galloway MP,2024-04-24T07:40:25.000Z,Beware of Zionist infiltrators in pro-#Palestine events especially at Universities.
Rafia Sultan,2024-04-22T16:05:28.000Z,"Nowadays, there is a lack of journalistic integrity, which is concerning as journalism is meant to reflect truth and honesty.

#Gaza #Palestine"
Sangay Mishra,2024-04-22T05:00:00.000Z,Exist - resist - return  #Palestine
Sir Chilliebean,2024-04-21T15:40:02.000Z,"Share for #Palestine - Share for the militant youth.

On April 26, the police in Rethymnon, Crete (#Greece) invaded the house of a young student while she was sleeping and took her into custody as part of a ""research"" for graffitis in solidarity with . #Columbia #SciencesPo"
Briana Pace,2024-04-26T21:44:35.000Z,"#MOATS POLL

“Are the US student Gaza protests anti-Semitic?”

Results #LIVE 
SUNDAY 
@moatstv
 
 7pm BST LONDON  
 11am PDT | 2pm 

#StudentProtests #US #Israel #Zionism #Gaza #AntiSemitism "
Suat Kılıçtaş,2024-04-26T18:00:54.000Z,"Unforgettable impression of different people on #Palestine
Must watch the vedio

#IsraeliNewNazism"
Her Royal Heinous,2024-04-21T13:06:20.000Z,Heavy police crackdown on NYU students and faculty. Lots of people arrested !! Close  friends who are faculty protecting the protest site have also been arrested!! #palestine #nyu4palestine spread the word!
The Daily Richard,2024-04-23T01:21:28.000Z,"Holocaust survivor's message to US campus protesters: ""Your protests are so persistent, large and global that eventually the Western leadership, which are trying to deny what’s going on, will be forced to face up to it.""

#Columbia  #Gaza #Palestine"
Rachida Benamar,2024-04-25T06:43:18.000Z,"Can't help thinking the Israël-lobby have made a mistake in picking a fight with the 
@metpoliceuk
 again. The forces in power in #Israel now killed a lot of British police officers in #Palestine and in their failed effort to kill Mr Churchill could have killed a lot of them…"
